numer_of_pits,collector,district,collection_period
29,A,D9,1
22,A,D9,1
17,A,D9,1
17,A,D9,1
26,A,D9,1
22,B,D9,1
15,B,D9,1
17,B,D9,1
19,B,D9,1
17,B,D9,1
21,A,D8,1
21,A,D8,1
25,A,D8,1
22,A,D8,1
18,A,D8,1
21,B,D8,1
15,B,D8,1
20,B,D8,1
22,B,D8,1
15,B,D8,1
21,A,D10,1
29,A,D10,1
16,A,D10,1
19,A,D10,1
15,B,D10,1
18,B,D10,1
22,B,D10,1
22,B,D10,1
25,A,D7,1
20,A,D7,1
23,A,D7,1
22,A,D7,1
25,A,D7,1
23,B,D7,1
18,B,D7,1
19,B,D7,1
21,B,D7,1
22,B,D7,1
